emp_num,last_name,first_name,middle_name,addr1,city,state,postal_code,home_phone,dob,id_type,ssn,job_title,emp_status,rehire_flag
1,Sheehan,Jamie,H,2280 Stoney Lonesome Road,Pittston,PA,18640,570-300-5826,4/13/1969,SSN,189-50-0966,Sales person,FT,
2,Mcpherson,Kimberly,J,3483 Alpaca Way,Anaheim,CA,92806,714-762-0551,10/13/1970,SSN,624-43-3201,Sales person,FT,
3,Spector,Oscar,A,4110 Smith Street,Holden,MA,1520,508-829-6577,08/05/1957,SSN,034-28-9551,Sales person,FT,
3A,Spector,Oskar,A,4110 Smith,Holden,MA,1520,,05/08/1957,SSN,034-28-9551,Sales person,FT,
4,Hammond,Frances,T,2447 Crummit Lane,Platte Center,NE,68653,402-246-4343,07/08/1971,SSN,506-31-4606,Sales person,FT,
5,Furman,Angela,D,1223 Granville Lane,West Orange,NJ,7052,973-501-2496,08/12/1965,SSN,140-42-9982,Sales person,FT,
6,Angel,Haywood,E,1646 Hott Street,Oklahoma City,OK,73129,405-648-1710,08/02/1953,SSN,446-14-1038,Sales person,FT,
7,Martin,Gordon,T,963 Maple Street,Anaheim,CA,92805,714-387-2863,3/28/1964,SSN,546-95-7680,Sales person,FT,
8,Martin,Martha,P,4233 Grant View Drive,New Berlin,WI,53151,414-440-8310,9/24/1973,SSN,396-23-0121,Sales person,FT,
9,Mooney,Gloria,J,2181 Twin Willow Lane,Fayetteville,NC,28301,910-480-6034,9/24/1957,SSN,689-01-5135,Sales person,FT,
10,Beaton,Joseph,A,2447 Willis Avenue,Mayo,FL,32066,386-294-6311,07/10/1963,SSN,266-87-0747,Sales person,FT,
11,Covington,John,J,4201 Terra Cotta Street,Remer,MN,56672,218-566-5425,08/10/1961,SSN,477-33-1025,Sales person,FT,
12,Peters,Joanne,R,2933 Memory Lane,Hickory Hills,IL,60457,815-954-3337,8/25/1953,SSN,335-04-6125,Sales person,FT,
13,Reed,Lisa,C,2517 Fittro Street,Fordyce,AR,71742,294-6311,5/28/1981,SSN,678-03-2204,Sales person,FT,
14,Alvarez,John,M,1270 Hannah Street,Hickory,NC,28601,828-312-4989,06/08/1955,SSN,684-09-0174,Sales person,FT,
15,Parkins,Jenna,R,3201 Wilmar Farm Road,Lanham,MD,20706,240-244-3626,5/13/1960,SSN,212-06-2688,Sales person,FT,
16,Lott,Terry,T,4987 Eagles Nest Drive,Willow Creek,CA,95573,530-629-8352,07/11/1958,SSN,620-53-8488,Sales person,FT,
17,Givens,Lisa,G,2940 Hillview Drive,Ringgold,GA,30736,706-965-5911,12/23/1962,SSN,668-07-7298,Sales person,FT,
