Email Address,First Name,Last Name,MEMBER_RATING,OPTIN_TIME,OPTIN_IP,CONFIRM_TIME,CONFIRM_IP,LATITUDE,LONGITUDE,GMTOFF,DSTOFF,TIMEZONE,CC,REGION,LAST_CHANGED,LEID,EUID,NOTES
lawrence.tye@mailinator.com,Lawrence,Tye,2,3/26/2017 1:52,,3/26/2017 1:52,67.180.177.178,,,,,,,,3/26/2017 1:52,48379607,30a651f681,
tyler.miller@pookmail.com,Tyler,Miller,2,3/26/2017 1:52,,3/26/2017 1:52,67.180.177.178,,,,,,,,3/26/2017 1:52,48379607,30a651f681,
ernest.bergin@dodgit.com,Ernest,Bergin,2,3/26/2017 1:52,,3/26/2017 1:52,67.180.177.178,,,,,,,,3/26/2017 1:52,48379607,30a651f681,
mary.walden@pookmail.com,Mary,Walden,2,3/26/2017 1:52,,3/26/2017 1:52,67.180.177.178,,,,,,,,3/26/2017 1:52,48379607,30a651f681,
carol.feld@dodgit.com,Carol,Feld,2,3/26/2017 1:52,,3/26/2017 1:52,67.180.177.178,,,,,,,,3/26/2017 1:52,48379607,30a651f681,
lloyd.gaines@mailinator.com,Lloyd,Gaines,2,3/26/2017 1:52,,3/26/2017 1:52,67.180.177.178,,,,,,,,3/26/2017 1:52,48379607,30a651f681,
bruce.fulcher@mailinator.com,Bruce,Fulcher,2,3/26/2017 1:52,,3/26/2017 1:52,67.180.177.178,,,,,,,,3/26/2017 1:52,48379607,30a651f681,
millicent.hernandez@pookmail.com,Millicent,Hernandez,2,3/26/2017 1:52,,3/26/2017 1:52,67.180.177.178,,,,,,,,3/26/2017 1:52,48379607,30a651f681,
james.bogan@mailinator.com,James,Bogan,2,3/26/2017 1:52,,3/26/2017 1:52,67.180.177.178,,,,,,,,3/26/2017 1:52,48379607,30a651f681,
mary.patenaude@spambob.com,Mary,Patenaude,2,3/26/2017 1:52,,3/26/2017 1:52,67.180.177.178,,,,,,,,3/26/2017 1:52,48379607,30a651f681,
mary.patenaude@spambob.com,Marie,Patenaude,2,3/26/2017 1:52,,3/26/2017 1:52,67.180.177.178,,,,,,,,3/26/2017 1:52,48379607,30a651f681,
victor.marine@mailinator.com,Victor,Marine,2,3/26/2017 1:52,,3/26/2017 1:52,67.180.177.178,,,,,,,,3/26/2017 1:52,48379607,30a651f681,
melissa.gentry@trashymail.com,Melissa,Gentry,2,3/26/2017 1:52,,3/26/2017 1:52,67.180.177.178,,,,,,,,3/26/2017 1:52,48379607,30a651f681,
mark.williams@pookmail.com,Mark,Williams,2,3/26/2017 1:52,,3/26/2017 1:52,67.180.177.178,,,,,,,,3/26/2017 1:52,48379607,30a651f681,
maria.fisher@trashymail.com,Maria,Fisher,2,3/26/2017 1:52,,3/26/2017 1:52,67.180.177.178,,,,,,,,3/26/2017 1:52,48379607,30a651f681,
edward.connors@trashymail.com,Edward,Connors,2,3/26/2017 1:52,,3/26/2017 1:52,67.180.177.178,,,,,,,,3/26/2017 1:52,48379607,30a651f681,
istaley84@newmail.com,Iva,Staley,2,3/26/2017 1:52,,3/26/2017 1:52,67.180.177.178,,,,,,,,3/26/2017 1:52,48379607,30a651f681,
stephanie.reedy@dodgit.com,Stephanie,Reedy,2,3/26/2017 1:52,,3/26/2017 1:52,67.180.177.178,,,,,,,,3/26/2017 1:52,48379607,30a651f681,
joseph.escobedo@dodgit.com,Joseph,Escobedo,2,3/26/2017 1:52,,3/26/2017 1:52,67.180.177.178,,,,,,,,3/26/2017 1:52,48379607,30a651f681,
kyla.hodges@pookmail.com,Kyla,Hodges,2,3/26/2017 1:52,,3/26/2017 1:52,67.180.177.178,,,,,,,,3/26/2017 1:52,48379607,30a651f681,
dominique.turgeon@spambob.com,Dominique,Turgeon,2,3/26/2017 1:52,,3/26/2017 1:52,67.180.177.178,,,,,,,,3/26/2017 1:52,48379607,30a651f681,
patricia.perryman@trashymail.com,Patricia,Perryman,2,3/26/2017 1:52,,3/26/2017 1:52,67.180.177.178,,,,,,,,3/26/2017 1:52,48379607,30a651f681,
